ALERTA,MES,ANO,SENSOR,ESTADO,AREAKM2,MUNICIPIO,ASSENTAMEN
degradacao,"3","2019",Sentinel-1-2,RR,0.01,Mucajaí,PA SAMAUMA
degradacao,"7","2020",Sentinel-1-2,AM,0.03,Manacapuru,PAE CABALIANA I
degradacao,"10","2019",Sentinel-1-2,RO,0.13,Rio Crespo,PA DOIS DE JULHO
degradacao,"9","2019",Sentinel-1-2,RO,0.08,Rio Crespo,PA DOIS DE JULHO
degradacao,"9","2019",Sentinel-1-2,RO,0.05,Cujubim,PA DOIS DE JULHO
degradacao,"9","2019",Sentinel-1-2,RO,0.18,Cujubim,PA DOIS DE JULHO
degradacao,"10","2019",Sentinel-1-2,RO,0.05,Cujubim,PA DOIS DE JULHO
degradacao,"10","2019",Sentinel-1-2,RO,0.06,Cujubim,PA DOIS DE JULHO
degradacao,"7","2018",Sentinel-1-2,PA,0.23,Acará,PA CALMARIA II
degradacao,"7","2018",Sentinel-1-2,PA,1.74,Acará,PA CALMARIA II
degradacao,"7","2018",Sentinel-1-2,PA,0.61,Moju,PA CALMARIA II
degradacao,"7","2018",Sentinel-1-2,PA,0.44,Moju,PA CALMARIA II
degradacao,"7","2018",Sentinel-1-2,PA,0.67,Acará,PA CALMARIA II
degradacao,"7","2018",Sentinel-1-2,PA,0.63,Moju,PA CALMARIA II
degradacao,"7","2018",Sentinel-1-2,PA,0.48,Acará,PA CALMARIA II
degradacao,"7","2018",Sentinel-1-2,PA,0.07,Moju,PA CALMARIA II
degradacao,"7","2018",Sentinel-1-2,PA,0.12,Moju,PA CALMARIA II
degradacao,"7","2018",Sentinel-1-2,PA,1.48,Moju,PA CALMARIA II
degradacao,"11","2020",Sentinel-1-2,PA,0.02,Marabá,PA TERRA ROXA
degradacao,"3","2020",Sentinel-1-2,PA,0.03,Marabá,PA TERRA ROXA
degradacao,"11","2020",Sentinel-1-2,PA,0.04,Marabá,PA TERRA ROXA
degradacao,"11","2020",Sentinel-1-2,PA,0.04,Marabá,PA TERRA ROXA
degradacao,"5","2016",Modis,RR,1.21,Rorainópolis,PA LADEIRÃO
degradacao,"9","2020",Sentinel-1-2,RR,0.44,Rorainópolis,PA LADEIRÃO
degradacao,"9","2020",Sentinel-1-2,RR,0.52,Rorainópolis,PA LADEIRÃO
degradacao,"3","2020",Sentinel-1-2,RR,0.02,Rorainópolis,PA LADEIRÃO
degradacao,"3","2020",Sentinel-1-2,RR,0.01,Rorainópolis,PA LADEIRÃO
degradacao,"5","2016",Modis,RR,0.76,Rorainópolis,PA LADEIRÃO
degradacao,"5","2016",Modis,RR,0.85,Rorainópolis,PA LADEIRÃO
degradacao,"5","2016",Modis,RR,1.66,Rorainópolis,PA LADEIRÃO
degradacao,"6","2016",Modis,RR,6.38,Rorainópolis,PA LADEIRÃO
degradacao,"6","2016",Modis,RR,4.85,Rorainópolis,PA LADEIRÃO
degradacao,"9","2018",Sentinel-1-2,RR,0.03,Rorainópolis,PA LADEIRÃO
degradacao,"3","2020",Sentinel-1-2,RR,0.05,Rorainópolis,PA LADEIRÃO
degradacao,"3","2020",Sentinel-1-2,RR,0.03,Rorainópolis,PA LADEIRÃO
degradacao,"3","2020",Sentinel-1-2,RR,0.02,Rorainópolis,PA LADEIRÃO
degradacao,"3","2020",Sentinel-1-2,RR,0.02,Rorainópolis,PA LADEIRÃO
degradacao,"3","2020",Sentinel-1-2,RR,0.03,Rorainópolis,PA LADEIRÃO
degradacao,"9","2018",Sentinel-1-2,RR,0.01,Rorainópolis,PA LADEIRÃO
degradacao,"9","2018",Sentinel-1-2,RR,0.03,Rorainópolis,PA LADEIRÃO
degradacao,"9","2018",Sentinel-1-2,RR,0.20,Rorainópolis,PA LADEIRÃO
degradacao,"1","2019",Sentinel-1-2,RR,0.02,Rorainópolis,PA LADEIRÃO
degradacao,"6","2010",Modis,RO,0.32,Nova Mamoré,PA FLORIANO MAGNO
degradacao,"1","2019",Sentinel-1-2,RO,0.03,Nova Mamoré,PA FLORIANO MAGNO
degradacao,"11","2020",Sentinel-1-2,PA,0.02,Itupiranga,PA PEDRA BRANCA
degradacao,"12","2019",Sentinel-1-2,AC,0.01,Sena Madureira,PAD BOA ESPERANÇA
degradacao,"1","2020",Sentinel-1-2,AC,0.02,Sena Madureira,PAD BOA ESPERANÇA
degradacao,"1","2020",Sentinel-1-2,AC,0.02,Sena Madureira,PAD BOA ESPERANÇA
degradacao,"1","2020",Sentinel-1-2,AC,0.06,Sena Madureira,PAD BOA ESPERANÇA
degradacao,"3","2020",Sentinel-1-2,AC,0.20,Sena Madureira,PAD BOA ESPERANÇA
degradacao,"3","2020",Sentinel-1-2,AC,0.01,Sena Madureira,PAD BOA ESPERANÇA
degradacao,"3","2020",Sentinel-1-2,AC,0.01,Sena Madureira,PAD BOA ESPERANÇA
degradacao,"3","2020",Sentinel-1-2,AC,0.02,Sena Madureira,PAD BOA ESPERANÇA
degradacao,"6","2019",Sentinel-1-2,AC,0.03,Sena Madureira,PAD BOA ESPERANÇA
degradacao,"9","2018",Sentinel-1-2,PA,0.03,Rurópolis,PDS CUPARI
degradacao,"12","2019",Sentinel-1-2,PA,0.02,São Félix do Xingu,PA TANCREDO NEVES
degradacao,"7","2019",Sentinel-1-2,PA,0.10,São Félix do Xingu,PA TANCREDO NEVES
degradacao,"9","2020",Sentinel-1-2,PA,0.06,São Félix do Xingu,PA TANCREDO NEVES
degradacao,"9","2020",Sentinel-1-2,PA,0.03,São Félix do Xingu,PA TANCREDO NEVES
degradacao,"9","2020",Sentinel-1-2,PA,0.08,São Félix do Xingu,PA TANCREDO NEVES
degradacao,"4","2020",Sentinel-1-2,PA,0.01,Santana do Araguaia,PA SÃO SEBASTIÃO DO CRISTALINO
degradacao,"7","2010",Modis,PA,0.32,Novo Repartimento,PA BOCA LARGA
degradacao,"6","2016",Modis,PA,3.05,Juruti,PEAEX CURUMUCURI
degradacao,"6","2016",Modis,PA,0.01,Santarém,PEAEX CURUMUCURI
degradacao,"6","2016",Modis,PA,0.69,Santarém,PAE LAGO GRANDE
degradacao,"6","2016",Modis,PA,0.16,Juruti,PEAEX CURUMUCURI
degradacao,"6","2016",Modis,PA,3.94,Juruti,PEAEX CURUMUCURI
degradacao,"6","2016",Modis,PA,1.04,Juruti,PA SOCÓ I
degradacao,"6","2016",Modis,PA,4.47,Juruti,PEAEX CURUMUCURI
degradacao,"6","2016",Modis,PA,1.89,Juruti,PEAEX CURUMUCURI
degradacao,"6","2016",Modis,PA,0.14,Juruti,PEAEX CURUMUCURI
degradacao,"6","2016",Modis,PA,27.46,Juruti,PEAEX CURUMUCURI
degradacao,"12","2019",Sentinel-1-2,PA,0.70,Juruti,PEAEX CURUMUCURI
degradacao,"12","2019",Sentinel-1-2,PA,0.01,Santarém,PEAEX CURUMUCURI
degradacao,"12","2019",Sentinel-1-2,PA,1.55,Santarém,PAE LAGO GRANDE
