ALERTA,MES,ANO,SENSOR,ESTADO,AREAKM2
degradacao,"11","2022",Sentinel-2,MT,0.16
degradacao,"11","2022",Sentinel-2,RO,0.16
degradacao,"11","2022",Sentinel-2,MT,0.16
degradacao,"11","2022",Sentinel-2,PA,0.16
degradacao,"11","2022",Sentinel-2,TO,0.16
degradacao,"11","2022",Sentinel-2,PA,0.16
degradacao,"11","2022",Sentinel-2,AM,0.16
degradacao,"11","2022",Sentinel-2,MT,0.15
degradacao,"11","2022",Sentinel-2,AC,0.15
degradacao,"11","2022",Sentinel-2,AM,0.15
degradacao,"11","2022",Sentinel-2,MT,0.15
degradacao,"11","2022",Sentinel-2,PA,0.15
degradacao,"11","2022",Sentinel-2,PA,0.14
degradacao,"11","2022",Sentinel-2,PA,0.14
degradacao,"11","2022",Sentinel-2,PA,0.14
degradacao,"11","2022",Sentinel-2,AM,0.14
degradacao,"11","2022",Sentinel-2,MA,0.14
degradacao,"11","2022",Sentinel-2,MT,0.14
degradacao,"11","2022",Sentinel-2,MT,0.14
degradacao,"11","2022",Sentinel-2,MT,0.14
degradacao,"11","2022",Sentinel-2,AM,0.14
degradacao,"11","2022",Sentinel-2,AC,0.13
degradacao,"11","2022",Sentinel-2,MT,0.13
degradacao,"11","2022",Sentinel-2,AM,0.13
degradacao,"11","2022",Sentinel-2,MT,0.13
degradacao,"11","2022",Sentinel-2,MT,0.13
degradacao,"11","2022",Sentinel-2,MT,0.13
degradacao,"11","2022",Sentinel-2,AM,0.13
degradacao,"11","2022",Sentinel-2,AM,0.13
degradacao,"11","2022",Sentinel-2,PA,0.13
degradacao,"11","2022",Sentinel-2,AM,0.13
degradacao,"11","2022",Sentinel-2,MT,0.13
degradacao,"11","2022",Sentinel-2,PA,0.13
degradacao,"11","2022",Sentinel-2,MT,0.13
degradacao,"11","2022",Sentinel-2,PA,0.12
degradacao,"11","2022",Sentinel-2,AC,0.12
degradacao,"11","2022",Sentinel-2,MT,0.12
degradacao,"11","2022",Sentinel-2,AC,0.12
degradacao,"11","2022",Sentinel-2,MT,0.12
degradacao,"11","2022",Sentinel-2,MT,0.11
degradacao,"11","2022",Sentinel-2,AM,0.11
degradacao,"11","2022",Sentinel-2,AC,0.11
degradacao,"11","2022",Sentinel-2,AM,0.11
degradacao,"11","2022",Sentinel-2,AM,0.11
