sigla_uf,area_ha,categoria,ano,name,sub_class,nome,geocodigo
PA,9.75486760801,não autorizada,2009,PDS LIBERDADE I,COM,Portel,1505809
PA,51.3778312085,autorizada,2010,PAQ ESPECIAL QUILOMBOLA PACOVAL,ARU,Alenquer,1500404
PA,51.3778312085,autorizada,2010,PAQ ESPECIAL QUILOMBOLA PACOVAL,ARU,Alenquer,1500404
PA,152.874613252,autorizada,2010,PAQ ESPECIAL QUILOMBOLA PACOVAL,ARU,Alenquer,1500404
PA,152.874613252,autorizada,2010,PAQ ESPECIAL QUILOMBOLA PACOVAL,ARU,Alenquer,1500404
PA,639.576851179,autorizada,2012,MARIAZINHA-ARACATI,COM,Santarém,1506807
PA,99.5117226284,não autorizada,2016,MARIAZINHA-ARACATI,COM,Santarém,1506807
PA,639.576851179,autorizada,2012,MARIAZINHA-ARACATI,COM,Santarém,1506807
PA,30.9584557148,não autorizada,2016,MARIAZINHA-ARACATI,COM,Santarém,1506807
PA,50.1348698554,autorizada,2012,PDS LIBERDADE,COM,Pacajá,1505486
PA,111.684172438,autorizada,2011,PDS LIBERDADE,COM,Pacajá,1505486
PA,108.520407781,autorizada,2016,PDS LIBERDADE I,COM,Portel,1505809
PA,36.298314365,autorizada,2023,PDS LIBERDADE I,COM,Portel,1505809
PA,11.2230553178,autorizada,2016,PA MOJU I E II,ARU,Mojuí dos Campos,1504752
PA,38.6433616619,autorizada,2011,PA MOJU I E II,ARU,Mojuí dos Campos,1504752
PA,554.312569604,autorizada,2009,PAQ ESPECIAL QUILOMBOLA PACOVAL,ARU,Alenquer,1500404
PA,554.312569604,autorizada,2009,PAQ ESPECIAL QUILOMBOLA PACOVAL,ARU,Alenquer,1500404
PA,34.6222008182,autorizada,2009,PA TAPAJÓS,ARU,Aveiro,1501006
PA,80.4822060541,não autorizada,2007,PA TAPAJÓS,ARU,Aveiro,1501006
PA,43.1800284855,autorizada,2011,PAQ ESPECIAL QUILOMBOLA PACOVAL,ARU,Alenquer,1500404
PA,43.1800284855,autorizada,2011,PAQ ESPECIAL QUILOMBOLA PACOVAL,ARU,Alenquer,1500404
PA,4.27050996983,autorizada,2011,PAQ ESPECIAL QUILOMBOLA PACOVAL,ARU,Alenquer,1500404
PA,4.27050996983,autorizada,2011,PAQ ESPECIAL QUILOMBOLA PACOVAL,ARU,Alenquer,1500404
PA,213.622561764,autorizada,2011,PAQ ESPECIAL QUILOMBOLA PACOVAL,ARU,Alenquer,1500404
PA,213.622561764,autorizada,2011,PAQ ESPECIAL QUILOMBOLA PACOVAL,ARU,Alenquer,1500404
PA,50.0810576446,autorizada,2007,PA TAPAJÓS,ARU,Aveiro,1501006
PA,80.4822060541,não autorizada,2007,PA TAPAJÓS,ARU,Aveiro,1501006
PA,192.715159193,autorizada,2007,PAE CURUÁ II,COM,Prainha,1506005
PA,164.53604938,não autorizada,2007,PAE CURUÁ II,COM,Prainha,1506005
PA,192.715159193,autorizada,2007,PAE CURUÁ II,ARU,Prainha,1506005
